id,sentiment
12311_10,0.50416744
8348_2,0.50416744
5828_4,0.50416744
7186_2,0.50416744
12128_7,0.50416744
2913_8,0.50416744
4396_1,0.50416744
395_2,0.50416744
10616_1,0.50416744
9074_9,0.50416744
9252_3,0.50416744
9896_9,0.50416744
574_4,0.50416744
11182_8,0.50416744
11656_4,0.50416744
2322_4,0.50416744
8703_1,0.50416744
7483_1,0.50416744
6007_10,0.50416744
12424_4,0.50416744
4672_1,0.50416744
10841_3,0.50416744
8954_7,0.50416744
7392_1,0.50416744
10288_8,0.50416744
5343_4,0.50416744
4950_1,0.50416744
9257_4,0.50416744
8689_3,0.50416744
4480_2,0.50416744
9286_10,0.50416744
12245_10,0.50416744
7529_7,0.50416744
4_4,0.50416744
5299_2,0.50416744
12077_8,0.50416744
10701_2,0.50416744
11579_1,0.50416744
10993_1,0.50416744
8913_1,0.50416744
1350_3,0.50416744
3804_2,0.50416744
5025_3,0.50416744
5170_8,0.50416744
8225_8,0.50416744
6427_7,0.50416744
3165_3,0.50416744
7902_9,0.50416744
8208_3,0.50416744
3577_8,0.50416744
4865_1,0.50416744
9063_3,0.50416744
1106_1,0.50416744
1117_9,0.50416744
1050_4,0.50416744
10755_9,0.50416744
2729_8,0.50416744
10072_10,0.50416744
2904_7,0.50416744
4584_2,0.50416744
189_4,0.50416744
6302_4,0.50416744
8138_9,0.50416744
1262_1,0.50416744
2199_10,0.50416744
6551_7,0.50416744
8082_7,0.50416744
4897_8,0.50416744
7360_1,0.50416744
11012_10,0.50416744
12046_1,0.50416744
2331_2,0.50416744
8961_9,0.50416744
751_7,0.50416744
9884_10,0.50416744
10016_8,0.50416744
8023_10,0.50416744
2628_1,0.50416744
5832_1,0.50416744
7302_1,0.50416744
4501_3,0.50416744
1121_7,0.50416744
8334_3,0.50416744
9789_10,0.50416744
4230_10,0.50416744
824_4,0.50416744
6803_9,0.50416744
3086_7,0.50416744
1135_8,0.50416744
10136_1,0.50416744
11129_3,0.50416744
2072_8,0.50416744
9501_7,0.50416744
319_10,0.50416744
1693_7,0.50416744
10886_1,0.50416744
9406_8,0.50416744
10376_10,0.50416744
9902_1,0.50416744
9938_8,0.50416744
7080_9,0.50416744
11944_8,0.50416744
5249_1,0.50416744
9599_2,0.50416744
9620_1,0.50416744
11244_1,0.50416744
6841_10,0.50416744
10050_4,0.50416744
10512_9,0.50416744
11327_3,0.50416744
10681_8,0.50416744
808_3,0.50416744
546_7,0.50416744
10765_1,0.50416744
7189_9,0.50416744
6005_9,0.50416744
11915_9,0.50416744
5740_10,0.50416744
7097_10,0.50416744
9573_10,0.50416744
5084_4,0.50416744
12332_7,0.50416744
8154_1,0.50416744
5610_1,0.50416744
5323_9,0.50416744
11034_8,0.50416744
3977_2,0.50416744
12380_7,0.50416744
1737_8,0.50416744
6030_9,0.50416744
5918_7,0.50416744
7061_9,0.50416744
266_8,0.50416744
1375_10,0.50416744
8648_3,0.50416744
10146_10,0.50416744
4578_10,0.50416744
4685_8,0.50416744
11843_9,0.50416744
5467_10,0.50416744
10140_10,0.50416744
7721_8,0.50416744
11208_10,0.50416744
1063_10,0.50416744
8260_10,0.50416744
3182_9,0.50416744
2797_8,0.50416744
7613_2,0.50416744
11624_4,0.50416744
4847_10,0.50416744
10684_7,0.50416744
6312_1,0.50416744
4925_3,0.50416744
4125_1,0.50416744
2394_10,0.50416744
12105_10,0.50416744
7812_1,0.50416744
1061_8,0.50416744
9343_3,0.50416744
7696_10,0.50416744
9355_10,0.50416744
782_9,0.50416744
9882_10,0.50416744
10642_10,0.50416744
7410_2,0.50416744
9591_4,0.50416744
11902_3,0.50416744
3495_7,0.50416744
6733_1,0.50416744
4552_1,0.50416744
6722_1,0.50416744
188_10,0.50416744
5099_10,0.50416744
10313_1,0.50416744
6756_9,0.50416744
6622_2,0.50416744
4807_10,0.50416744
7173_3,0.50416744
11321_8,0.50416744
7909_9,0.50416744
8012_7,0.50416744
8615_4,0.50416744
8117_10,0.50416744
1892_10,0.50416744
4617_1,0.50416744
1893_8,0.50416744
5435_1,0.50416744
162_3,0.50416744
6516_10,0.50416744
11588_7,0.50416744
2006_1,0.50416744
1594_4,0.50416744
1472_1,0.50416744
3647_1,0.50416744
174_7,0.50416744
5539_7,0.50416744
3384_10,0.50416744
3811_4,0.50416744
